,Aantal nodig
BIER | FUSTEN,
De Klok - Fust 50L,7
De Klok - Fust 20L,3
La Chouffe - Fust 20L,6
Grolsch herfstbok - Fust 20L,4
Kromme haring - Fust 20L,4
Boot 122 - Fust 20L,6
,
Koolzuur klein,2
Koolzuur groot,2
,
BIER | FLES OF BLIK,
De Klok,60
Weihenstephaner Hefe ,12
Warsteiner Alkoholfrei,4
Weihenstephaner Alkoholfrei,4
Budels,4
La Trappe Nillis,4
Guinness Porter,4
Westmalle ,2
Lowlander IPA,8
Play Ground,6
Bio UR-Hop IPA Gulpener,4
Brewdog Hazy Jane,5
Funky Falcon ,8
Eleven - Oma Lodewijk,5
Eleven - Double Fruited Sour,3
Rochefort 6,3
Zeezuiper,8
VandeStreek Dubbelbock,4
St bernardus,3
Blanche de Bruxelles,
Kromme Haring - Inktvis,8
Kromme Haring - Original Smokey,3
Kromme Haring - Whitebeat,5
Kromme Haring - Sand Diver,4
Magners,8
Oproer - Refuse Resist ,4
Oproer - Blond Enigma ,4
Oproer - 24/7 India Pale Ale,4
Bear cider,8
,
FRIS ,
Fritz - Kola,12
Fritz - Kola zonder suiker,6
Fritz - Orange,4
Fritz-Limo Citroen,5
Fritz-Spritz Bio-Appel,4
Bundaberg - Gingerbeer,16
Schweppes tonic,4
Club Mate,12
Fuze Tea Green,4
Schulp - Sinaasappelsap,6
Schulp - Peresap,6
Schulp - Appel - Aardbei,6
GROWLAB - Kombucha,6
,
SLIGRO,
Bruiswater klein ,8
Bruiswater groot,6
,
,
ALDI,
Schultenbrau,20
Amigo,20
,
WIJNEN - WIT,
Torres Mas Rabell Blanco,12
La Linda Unoaked Chardonnay,3
Green Trail Rosé,4
Auzines Laurent Miquel Rosé,3
Cava La Iaia Nuria,5
,
WIJNEN - ROOD,
Torres Mas Rabell Tempranillo,6
Sangre de Toro,3
Offley Tawny Port,4
,
SEIZOENSWIJNEN - WIT,
Domaine la montagnette,18
Gran Cerdo,18
,
SEIZOENSWIJNEN - ROOD,
Antron Sauvignon ,18
Cotes du Rhone,18
,
STERK,
Kalinka,8
Calvados ,2
Tequila ,5
Salmari,16
Vieux ,3
Connemara,3
Gin,8
Bols kruik,3
Jameson,6
Havana Club witte rum,6
Molinari ,2
Baileys,2
limoncello,3
,
BACKSTAGE ,
Coca Cola,12
Coca Cola Zero,6
GInger Ale,6
Appelsap,6
Icetea,6
Sourcy rood,12